"","Trees","M","CV_Error","Mean"
"1",200,41,0.391666666666667,0
"2",200,41,0.379166666666667,0
"3",200,41,0.341666666666667,0
"4",200,41,0.2875,0
"5",200,41,0.3625,0
"6",200,41,0.3525,1
"7",400,41,0.391666666666667,0
"8",400,41,0.375,0
"9",400,41,0.35,0
"10",400,41,0.279166666666667,0
"11",400,41,0.329166666666667,0
"12",400,41,0.345,1
"13",600,41,0.391666666666667,0
"14",600,41,0.370833333333333,0
"15",600,41,0.325,0
"16",600,41,0.3,0
"17",600,41,0.354166666666667,0
"18",600,41,0.348333333333333,1
"19",200,82,0.3875,0
"20",200,82,0.341666666666667,0
"21",200,82,0.333333333333333,0
"22",200,82,0.279166666666667,0
"23",200,82,0.35,0
"24",200,82,0.338333333333333,1
"25",400,82,0.370833333333333,0
"26",400,82,0.3625,0
"27",400,82,0.333333333333333,0
"28",400,82,0.275,0
"29",400,82,0.35,0
"30",400,82,0.338333333333333,1
"31",600,82,0.383333333333333,0
"32",600,82,0.354166666666667,0
"33",600,82,0.341666666666667,0
"34",600,82,0.2625,0
"35",600,82,0.354166666666667,0
"36",600,82,0.339166666666667,1
"37",200,164,0.379166666666667,0
"38",200,164,0.370833333333333,0
"39",200,164,0.345833333333333,0
"40",200,164,0.258333333333333,0
"41",200,164,0.3375,0
"42",200,164,0.338333333333333,1
"43",400,164,0.370833333333333,0
"44",400,164,0.35,0
"45",400,164,0.341666666666667,0
"46",400,164,0.25,0
"47",400,164,0.345833333333333,0
"48",400,164,0.331666666666667,1
"49",600,164,0.383333333333333,0
"50",600,164,0.358333333333333,0
"51",600,164,0.3375,0
"52",600,164,0.266666666666667,0
"53",600,164,0.354166666666667,0
"54",600,164,0.34,1
